virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
B/HongKong/90/2008	B/HongKong/90/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	2560	Barr2010
B/Fujian/1272/2008	B/Fujian/1272/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	2560	Barr2010
B/Texas/26/2008	B/Texas/26/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	2560	Barr2010
B/Texas/34/2008	B/Texas/34/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	80	Barr2010
B/Uruguay/12/2008	B/Uruguay/12/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	80	Barr2010
B/Wisconsin/27/2008	B/Wisconsin/27/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	160	Barr2010
B/Florida/16/2008	B/Florida/16/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	80	Barr2010
B/Hubei/51/2008	B/Hubei/51/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	160	Barr2010
B/Yunnan/1491/2008	B/Yunnan/1491/2008	2008	MY/2506/2005	B/Malaysia/2506/2004	2004	2560	Barr2010
B/Iwate/17/2009	B/Iwate/17/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2009SepVic
B/Hubei/37/2009	B/Hubei/37/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	160	MRC2009SepVic
B/Belgrade/1094/2009	B/Belgrade/1094/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2009SepVic
B/Singapore/21/2009	B/Singapore/21/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	80	MRC2009SepVic
B/HongKong/235/2009	B/HongKong/235/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2009SepVic
B/Okinawa/10/2009	B/Okinawa/10/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2009SepVic
B/Sabac/1232/2009	B/Sabac/1232/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2009SepVic
B/Norway/1474/2009	B/Norway/1474/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2009SepVic
B/Madagascar/4254/2009	B/Madagascar/4254/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2009SepVic
B/Mauritius/515/2009	B/Mauritius/515/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2009SepVic
B/Laos/1232/2009	B/Laos/1232/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010FebVic
B/Madagascar/6945/2009	B/Madagascar/6945/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010FebVic
B/Madagascar/7002/2009	B/Madagascar/7002/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010FebVic
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010FebVic
B/Stockholm/8/2009	B/Stockholm/8/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010FebVic
B/Madagascar/7002/2009	B/Madagascar/7002/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2010SepVic
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2010SepVic
B/Madagascar/7002/2009	B/Madagascar/7002/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	80	MRC2010SepVic2
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	80	MRC2010SepVic2
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011FebVic
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011FebVic2
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2011FebVic3
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011FebVic4
B/Paris/1762/2009	B/Paris/1762/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2011SepVic
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2011SepVic
B/Paris/1762/2009	B/Paris/1762/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic2
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic2
B/Paris/1762/2009	B/Paris/1762/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic3
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic3
B/Paris/1762/2009	B/Paris/1762/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011SepVic4
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011SepVic4
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	80	MRC2011SepVic5
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2012FebVic
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic2
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2012FebVic3
B/HongKong/514/2009	B/HongKong/514/2009	2009	B/Mal/2506/04_F37/11	B/Malaysia/2506/2004	2004	<10	MRC2012FebVic4
B/Missouri/1/2009	B/Missouri/1/2009	2009	MY/2506/2005	B/Malaysia/2506/2004	2004	80	Barr2010
B/Stockholm/1/2010	B/Stockholm/1/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010FebVic
B/Stockholm/2/2010	B/Stockholm/2/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2010SepVic
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010SepVic
B/Stockholm/3/2010	B/Stockholm/3/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2010SepVic
B/Milano/34/2010	B/Milano/34/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010SepVic
B/Milano/36/2010	B/Milano/36/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010SepVic
B/Stockholm/5/2010	B/Stockholm/5/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2010SepVic
B/Yamaguchi/1/2010	B/Yamaguchi/1/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	<10	MRC2010SepVic
B/Norway/459/2010	B/Norway/459/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2010SepVic
B/Moscow/1/2010	B/Moscow/1/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2010SepVic
B/Moscow/9/2010	B/Moscow/9/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2010SepVic
B/Moscow/18/2010	B/Moscow/18/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2010SepVic
B/Taiwan/11/2010	B/Taiwan/11/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	160	MRC2010SepVic2
B/Panama/307237/2010	B/Panama/307237/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	320	MRC2010SepVic2
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011FebVic
B/Slovakia/1731/2010	B/Slovakia/1731/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	40	MRC2011FebVic
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	20	MRC2011FebVic2
B/Tehran/5277/2010	B/Tehran/5277/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2011FebVic2
B/Odessa/3886/2010	B/Odessa/3886/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	10	MRC2011FebVic3
B/Hiroshima/9/2010	B/Hiroshima/9/2010	2010	B/Mal/2506/04_F28/05	B/Malaysia/2506/2004	2004	320	MRC2011FebVic3
