virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
B/AnnArbor/1/1986	B/AnnArbor/1/1986	1986	B/BJ/1987	B/Beijing/1/1987	1987	40	Rota1990
B/Beijing/1/1987	B/Beijing/1/1987	1987	B/BJ/1987	B/Beijing/1/1987	1987	80	Rota1990
B/Victoria/2/1987	B/Victoria/2/1987	1987	B/BJ/1987	B/Beijing/1/1987	1987	40	Rota1990
B/Aichi/5/1988	B/Aichi/5/1988	1988	B/BJ/1987	B/Beijing/1/1987	1987	160	Rota1990
B/Texas/37/1988	B/Texas/37/1988	1988	B/BJ/1987	B/Beijing/1/1987	1987	80	Rota1990
B/Ohio/10/1988	B/Ohio/10/1988	1988	B/BJ/1987	B/Beijing/1/1987	1987	20	Rota1990
B/Chengdu/54/1988	B/Chengdu/54/1988	1988	B/BJ/1987	B/Beijing/1/1987	1987	80	Rota1990
B/Aichi/5/1988	B/Aichi/5/1988	1988	B/Aichi/5/1988	B/Aichi/5/1988	1988	80	Nerome1998
B/Osaka/c19/1993	B/Osaka/c19/1993	1993	B/Aichi/5/1988	B/Aichi/5/1988	1988	40	Nerome1998
B/Guangdong/5/1994	B/Guangdong/5/1994	1994	B/Aichi/5/1988	B/Aichi/5/1988	1988	10	Nerome1998
B/Kagoshima/15/1994	B/Kagoshima/15/1994	1994	B/Aichi/5/1988	B/Aichi/5/1988	1988	10	Nerome1998
B/Osaka/491/1997	B/Osaka/491/1997	1997	B/Aichi/5/1988	B/Aichi/5/1988	1988	<10	Nerome1998
B/Aichi/5/1988	B/Aichi/5/1988	1988	B/Osaka/c19/1993	B/Osaka/c19/1993	1993	320	Nerome1998
B/Osaka/c19/1993	B/Osaka/c19/1993	1993	B/Osaka/c19/1993	B/Osaka/c19/1993	1993	160	Nerome1998
B/Guangdong/5/1994	B/Guangdong/5/1994	1994	B/Osaka/c19/1993	B/Osaka/c19/1993	1993	40	Nerome1998
B/Kagoshima/15/1994	B/Kagoshima/15/1994	1994	B/Osaka/c19/1993	B/Osaka/c19/1993	1993	160	Nerome1998
B/Osaka/491/1997	B/Osaka/491/1997	1997	B/Osaka/c19/1993	B/Osaka/c19/1993	1993	10	Nerome1998
B/Aichi/5/1988	B/Aichi/5/1988	1988	B/Guangdong/5/1994	B/Guangdong/5/1994	1994	160	Nerome1998
B/Osaka/c19/1993	B/Osaka/c19/1993	1993	B/Guangdong/5/1994	B/Guangdong/5/1994	1994	160	Nerome1998
B/Guangdong/5/1994	B/Guangdong/5/1994	1994	B/Guangdong/5/1994	B/Guangdong/5/1994	1994	160	Nerome1998
B/Kagoshima/15/1994	B/Kagoshima/15/1994	1994	B/Guangdong/5/1994	B/Guangdong/5/1994	1994	320	Nerome1998
B/Osaka/491/1997	B/Osaka/491/1997	1997	B/Guangdong/5/1994	B/Guangdong/5/1994	1994	40	Nerome1998
B/Victoria/2/1987	B/Victoria/2/1987	1987	B/Shandong/7/1997	B/Shandong/7/1997	1997	160	Hay2001
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	640	MRC2003
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2004
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb1
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb2
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb3
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb4
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	640	MRC2005Feb5
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Sep1
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2006MarVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2006SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2006SepVic2
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2007MarVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008MarVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	320	MRC2008SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2009FebVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2009SepVic
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shan/7/97	B/Shandong/7/1997	1997	640	Ansaldi2004
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	320	Puzelli2004
B/Beijing/243/1997	B/Beijing/243/1997	1997	B/Beijing/243/1997	B/Beijing/243/1997	1997	320	Shaw2002
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Shandong/7/1997	B/Shandong/7/1997	1997	640	Hay2001
B/HongKong/335/2001	B/HongKong/335/2001	2001	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2003
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/Shandong/7/1997	B/Shandong/7/1997	1997	160	Puzelli2004
B/HongKong/22/2001	B/HongKong/22/2001	2001	B/Beijing/243/1997	B/Beijing/243/1997	1997	160	Shaw2002
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/Beijing/243/1997	B/Beijing/243/1997	1997	160	Shaw2002
B/Oman/16296/2001	B/Oman/16296/2001	2001	B/Beijing/243/1997	B/Beijing/243/1997	1997	160	Shaw2002
B/Philippines/5072/2001	B/Philippines/5072/2001	2001	B/Beijing/243/1997	B/Beijing/243/1997	1997	40	Shaw2002
B/Malaysia/83077/2001	B/Malaysia/83077/2001	2001	B/Beijing/243/1997	B/Beijing/243/1997	1997	80	Shaw2002
B/India/7600/2001	B/India/7600/2001	2001	B/Beijing/243/1997	B/Beijing/243/1997	1997	80	Shaw2002
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2003
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2003
B/Dakar/31/2002	B/Dakar/31/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	640	MRC2003
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2004
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2004
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb1
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb1
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb2
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb3
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb3
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb4
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb4
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb5
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2005Feb5
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep1
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep1
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2006MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic2
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2007MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008MarVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2008SepVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2009FebVic
B/Brisbane/32/2002	B/Brisbane/32/2002	2002	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	20	MRC2009SepVic
B/Tehran/80/2002	B/Tehran/80/2002	2002	B/Shandong/7/1997	B/Shandong/7/1997	1997	320	Puzelli2004
B/Milano/5/2002	B/Milano/5/2002	2002	B/Shandong/7/1997	B/Shandong/7/1997	1997	80	Puzelli2004
B/Parma/28/2002	B/Parma/28/2002	2002	B/Shandong/7/1997	B/Shandong/7/1997	1997	80	Puzelli2004
B/Genova/2/2002	B/Genova/2/2002	2002	B/Shandong/7/1997	B/Shandong/7/1997	1997	40	Puzelli2004
B/Trieste/28/2002	B/Trieste/28/2002	2002	B/Shandong/7/1997	B/Shandong/7/1997	1997	80	Puzelli2004
B/HongKong/1351/2002	B/HongKong/1351/2002	2002	B/Beijing/243/1997	B/Beijing/243/1997	1997	160	Shaw2002
B/NewYork/1/2002	B/NewYork/1/2002	2002	B/Beijing/243/1997	B/Beijing/243/1997	1997	80	Shaw2002
B/Trieste/1/2003	B/Trieste/1/2003	2003	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2003
B/Roma/3/2003	B/Roma/3/2003	2003	B/Shan/7/97	B/Shandong/7/1997	1997	640	MRC2003
B/Barcelona/215/2003	B/Barcelona/215/2003	2003	B/Shan/7/97	B/Shandong/7/1997	1997	640	MRC2003
B/Lipetsk/17/2003	B/Lipetsk/17/2003	2003	B/Shan/7/97	B/Shandong/7/1997	1997	640	MRC2003
B/Geneva/5079/2003	B/Geneva/5079/2003	2003	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2003
B/Cheju/303/2003	B/Cheju/303/2003	2003	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2004
B/Parma/1/2003	B/Parma/1/2003	2003	B/Shandong/7/1997	B/Shandong/7/1997	1997	80	Puzelli2004
B/Roma/1/2003	B/Roma/1/2003	2003	B/Shandong/7/1997	B/Shandong/7/1997	1997	160	Puzelli2004
B/Roma/2/2003	B/Roma/2/2003	2003	B/Shandong/7/1997	B/Shandong/7/1997	1997	160	Puzelli2004
B/Roma/3/2003	B/Roma/3/2003	2003	B/Shandong/7/1997	B/Shandong/7/1997	1997	320	Puzelli2004
B/Hawaii/13/2004	B/Hawaii/13/2004	2004	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb3
B/Phitsanulok/2053/2004	B/Phitsanulok/2053/2004	2004	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Feb5
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006MarVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic2
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2007MarVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	320	MRC2008MarVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008SepVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2009FebVic
B/Malaysia/2506/2004	B/Malaysia/2506/2004	2004	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2009SepVic
B/Parma/2/2004	B/Parma/2/2004	2004	B/Shandong/7/1997	B/Shandong/7/1997	1997	80	Puzelli2004
B/Parma/3/2004	B/Parma/3/2004	2004	B/Shandong/7/1997	B/Shandong/7/1997	1997	80	Puzelli2004
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2005Sep1
B/Khabarovsk/14/2005	B/Khabarovsk/14/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep1
B/Lisbon/32/2005	B/Lisbon/32/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep1
B/Romania/700/2005	B/Romania/700/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2005Sep1
B/Turkey/389/2005	B/Turkey/389/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2005Sep1
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Illinois/13/2005	B/Illinois/13/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Victoria/505/2005	B/Victoria/505/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Johannesburg/27/2005	B/Johannesburg/27/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2005Sep2
B/Johannesburg/403/2005	B/Johannesburg/403/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2005Sep2
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2006MarVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	320	MRC2006SepVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic2
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2007MarVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	320	MRC2008MarVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	320	MRC2008SepVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2009FebVic
B/HongKong/45/2005	B/HongKong/45/2005	2005	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2009SepVic
B/StPetersburg/17/2006	B/StPetersburg/17/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic
B/HongKong/809/2006	B/HongKong/809/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2006SepVic
B/NewCaledonia/5/2006	B/NewCaledonia/5/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	<40	MRC2006SepVic2
B/NewCaledonia/5/2006	B/NewCaledonia/5/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2006SepVic2
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2006SepVic2
B/Perth/1/2006	B/Perth/1/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	40	MRC2006SepVic2
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2007MarVic
B/Bangladesh/5278/2006	B/Bangladesh/5278/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2007MarVic
B/Texas/39/2006	B/Texas/39/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	80	MRC2007MarVic
B/Madagascar/2866/2006	B/Madagascar/2866/2006	2006	B/Shan/7/97	B/Shandong/7/1997	1997	160	MRC2007MarVic
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan7/97	B/Shandong/7/1997	1997	160	MRC2007SepVic
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008MarVic
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008SepVic
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2009FebVic
B/Victoria/304/2006	B/Victoria/304/2006	2006	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2009SepVic
B/Pennsylvania/5/2007	B/Pennsylvania/5/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/HongKong/121/2007	B/HongKong/121/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Osaka/16/2007	B/Osaka/16/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Odessa/394/2007	B/Odessa/394/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Khabarovsk/26/2007	B/Khabarovsk/26/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Tula/3/2007	B/Tula/3/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Astrakhan/88/2007	B/Astrakhan/88/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Johannesburg/18/2007	B/Johannesburg/18/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	320	MRC2007SepVic
B/Victoria/500/2007	B/Victoria/500/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	80	MRC2007SepVic
B/Johannesburg/150/2007	B/Johannesburg/150/2007	2007	B/Shan7/97	B/Shandong/7/1997	1997	80	MRC2007SepVic
B/Hiroshima/320/2007	B/Hiroshima/320/2007	2007	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008MarVic
B/Egypt/80/2007	B/Egypt/80/2007	2007	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008MarVic
B/Egypt/80/2007	B/Egypt/80/2007	2007	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	160	MRC2008MarVic
B/Jiangxi/1792/2007	B/Jiangxi/1792/2007	2007	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2008SepVic
B/HongKong/998/2008	B/HongKong/998/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2008SepVic
B/Hubei/1146/2008	B/Hubei/1146/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<40	MRC2008SepVic
B/England/393/2008	B/England/393/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2009FebVic
B/Brisbane/60/2008	B/Brisbane/60/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2009FebVic
B/Brisbane/33/2008	B/Brisbane/33/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2009FebVic
B/Texas/26/2008	B/Texas/26/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2009FebVic
B/Bayern/36/2008	B/Bayern/36/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009FebVic
B/England/393/2008	B/England/393/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2009SepVic
B/Brisbane/33/2008	B/Brisbane/33/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2009SepVic
B/Brisbane/60/2008	B/Brisbane/60/2008	2008	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	80	MRC2009SepVic
B/Iwate/17/2009	B/Iwate/17/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/Hubei/37/2009	B/Hubei/37/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	40	MRC2009SepVic
B/Belgrade/1094/2009	B/Belgrade/1094/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	10	MRC2009SepVic
B/Singapore/21/2009	B/Singapore/21/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/HongKong/235/2009	B/HongKong/235/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/Okinawa/10/2009	B/Okinawa/10/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/Sabac/1232/2009	B/Sabac/1232/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	10	MRC2009SepVic
B/Norway/1474/2009	B/Norway/1474/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/Madagascar/4254/2009	B/Madagascar/4254/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/Mauritius/515/2009	B/Mauritius/515/2009	2009	B/Shan/7/97_F12/02	B/Shandong/7/1997	1997	<10	MRC2009SepVic
B/Nagasaki/1/1987	B/Nagasaki/1/1987	1987	B/Aichi/3/1998	B/Aichi/3/1998	1998	32	Muyanga2001
B/Aichi/5/1988	B/Aichi/5/1988	1988	B/Aichi/3/1998	B/Aichi/3/1998	1998	<8	Muyanga2001
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/Aichi/3/1998	B/Aichi/3/1998	1998	32	Muyanga2001
B/Aichi/15/1997	B/Aichi/15/1997	1997	B/Aichi/3/1998	B/Aichi/3/1998	1998	32	Muyanga2001
B/Aichi/3/1998	B/Aichi/3/1998	1998	B/Aichi/3/1998	B/Aichi/3/1998	1998	64	Muyanga2001
B/Aichi/20/1999	B/Aichi/20/1999	1999	B/Aichi/3/1998	B/Aichi/3/1998	1998	64	Muyanga2001
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/330/01	B/HongKong/330/2001	2001	80	MRC2002
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/335/01	B/HongKong/335/2001	2001	160	MRC2002
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/335/01	B/HongKong/335/2001	2001	640	MRC2003
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/335/01	B/HongKong/335/2001	2001	160	Ansaldi2004
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/330/2001	B/HongKong/330/2001	2001	5120	Puzelli2004
B/Beijing/243/1997	B/Beijing/243/1997	1997	B/HongKong/22/2001	B/HongKong/22/2001	2001	160	Shaw2002
B/Beijing/243/1997	B/Beijing/243/1997	1997	B/HongKong/330/2001	B/HongKong/330/2001	2001	1280	Shaw2002
B/Shandong/7/1997	B/Shandong/7/1997	1997	B/HK/330/01	B/HongKong/330/2001	2001	1280	Xu2004
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/HK/330/01	B/HongKong/330/2001	2001	160	MRC2002
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/HK/335/01	B/HongKong/335/2001	2001	320	MRC2002
B/HongKong/335/2001	B/HongKong/335/2001	2001	B/HK/330/01	B/HongKong/330/2001	2001	160	MRC2002
B/HongKong/335/2001	B/HongKong/335/2001	2001	B/HK/335/01	B/HongKong/335/2001	2001	320	MRC2002
B/HongKong/335/2001	B/HongKong/335/2001	2001	B/HK/335/01	B/HongKong/335/2001	2001	640	MRC2003
B/HongKong/335/2001	B/HongKong/335/2001	2001	B/HK/335/01	B/HongKong/335/2001	2001	320	Ansaldi2004
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	160	Lin2007
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/HK/330/2001	B/HongKong/330/2001	2001	5120	Puzelli2004
B/HongKong/22/2001	B/HongKong/22/2001	2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	640	Shaw2002
B/HongKong/22/2001	B/HongKong/22/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	640	Shaw2002
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	160	Shaw2002
B/HongKong/330/2001	B/HongKong/330/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	640	Shaw2002
B/Oman/16296/2001	B/Oman/16296/2001	2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	160	Shaw2002
B/Oman/16296/2001	B/Oman/16296/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	320	Shaw2002
B/Philippines/5072/2001	B/Philippines/5072/2001	2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	80	Shaw2002
B/Philippines/5072/2001	B/Philippines/5072/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	160	Shaw2002
B/Malaysia/83077/2001	B/Malaysia/83077/2001	2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	80	Shaw2002
B/Malaysia/83077/2001	B/Malaysia/83077/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	160	Shaw2002
B/India/7600/2001	B/India/7600/2001	2001	B/HongKong/22/2001	B/HongKong/22/2001	2001	80	Shaw2002
B/India/7600/2001	B/India/7600/2001	2001	B/HongKong/330/2001	B/HongKong/330/2001	2001	160	Shaw2002
