virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Wis67/05	A/Wisconsin/67/2005	2005	5120	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Trieste25c/07	A/Trieste/25c/2007	2007	5120	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Wis3/07	A/Wisconsin/3/2007	2007	1280	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Bris10/07	A/Brisbane/10/2007	2007	5120	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Uru716/07	A/Uruguay/716/2007	2007	5120	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/JHB15/08	A/Johannesburg/15/2008	2008	2560	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Eng394/08	A/England/394/2008	2008	320	Barr2010
A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	A/Bris24/08	A/Brisbane/24/2008	2008	5120	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Uru716/07	A/Uruguay/716/2007	2007	640	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Trieste/25c/2007	A/Trieste/25c/2007	2007	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Wis67/05	A/Wisconsin/67/2005	2005	5120	Barr2010
