virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Trieste25c/07	A/Trieste/25c/2007	2007	5120	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Wis3/07	A/Wisconsin/3/2007	2007	5120	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Bris10/07	A/Brisbane/10/2007	2007	5120	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Uru716/07	A/Uruguay/716/2007	2007	5120	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/JHB15/08	A/Johannesburg/15/2008	2008	2560	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Eng394/08	A/England/394/2008	2008	1280	Barr2010
A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	A/Bris24/08	A/Brisbane/24/2008	2008	5120	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Wis67/05	A/Wisconsin/67/2005	2005	2560	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Trieste25c/07	A/Trieste/25c/2007	2007	5120	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Wis3/07	A/Wisconsin/3/2007	2007	640	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Bris10/07	A/Brisbane/10/2007	2007	5120	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Uru716/07	A/Uruguay/716/2007	2007	5120	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/JHB15/08	A/Johannesburg/15/2008	2008	2560	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Eng394/08	A/England/394/2008	2008	320	Barr2010
A/Brisbane/10/2007	A/Brisbane/10/2007	2007	A/Bris24/08	A/Brisbane/24/2008	2008	5120	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Wis67/05	A/Wisconsin/67/2005	2005	2560	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Trieste25c/07	A/Trieste/25c/2007	2007	2560	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Wis3/07	A/Wisconsin/3/2007	2007	640	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Bris10/07	A/Brisbane/10/2007	2007	2560	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Uru716/07	A/Uruguay/716/2007	2007	5120	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/JHB15/08	A/Johannesburg/15/2008	2008	1280	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Eng394/08	A/England/394/2008	2008	320	Barr2010
A/Uruguay/716/2007	A/Uruguay/716/2007	2007	A/Bris24/08	A/Brisbane/24/2008	2008	2560	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	160	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	160	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	80	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	320	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	320	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	640	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	320	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Eng394/08	A/England/394/2008	2008	640	Barr2010
A/England/394/2008	A/England/394/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	320	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	2560	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	5120	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	2560	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	5120	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	5120	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	5120	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Eng394/08	A/England/394/2008	2008	640	Barr2010
A/Brisbane/24/2008	A/Brisbane/24/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	5120	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	1280	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	2560	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	1280	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	2560	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	5120	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	1280	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Eng394/08	A/England/394/2008	2008	1280	Barr2010
A/Norway/1/2009	A/Norway/1/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	640	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	640	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	640	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	320	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	1280	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	2560	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	640	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Eng394/08	A/England/394/2008	2008	640	Barr2010
A/England/669/2008	A/England/669/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	320	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	640	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	640	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	640	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	1280	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	1280	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	640	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Eng394/08	A/England/394/2008	2008	320	Barr2010
A/Stockholm/26/2008	A/Stockholm/26/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	640	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	80	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	160	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	640	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	160	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Eng394/08	A/England/394/2008	2008	320	Barr2010
A/HongKong/3197/2008	A/HongKong/3197/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	80	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	320	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	640	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	640	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	640	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	640	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Niedersachsen/110/2008	A/Niedersachsen/110/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	640	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	320	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	320	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	640	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	320	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Eng394/08	A/England/394/2008	2008	320	Barr2010
A/Israel/9/09	A/Israel/9/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	640	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	80	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	160	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	320	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	160	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Norway/2308/2008	A/Norway/2308/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	160	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	160	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Parma/20/2009	A/Parma/20/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	80	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	80	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	160	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	160	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Bremen/1/2009	A/Bremen/1/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	80	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	160	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Slovenia/51/2009	A/Slovenia/51/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	320	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	160	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	320	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	320	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	320	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	160	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Bratislava/151/2009	A/Bratislava/151/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	160	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	160	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	80	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	40	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	160	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	80	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Eng394/08	A/England/394/2008	2008	80	Barr2010
A/Barcelona/328/2009	A/Barcelona/328/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	80	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	160	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	80	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Lasi/22/2009	A/Lasi/22/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	40	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	80	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	160	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	80	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Eng394/08	A/England/394/2008	2008	80	Barr2010
A/Bucuresti/54/2009	A/Bucuresti/54/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	80	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	160	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	160	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	80	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Eng394/08	A/England/394/2008	2008	160	Barr2010
A/Algeria/G216/2009	A/Algeria/G216/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	80	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	160	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	80	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Eng394/08	A/England/394/2008	2008	80	Barr2010
A/Belgium/G344/2009	A/Belgium/G344/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	160	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	80	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	80	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	160	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	80	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Eng394/08	A/England/394/2008	2008	40	Barr2010
A/Egypt/59/2008	A/Egypt/59/2008	2008	A/Bris24/08	A/Brisbane/24/2008	2008	80	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Trieste25c/07	A/Trieste/25c/2007	2007	40	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Wis3/07	A/Wisconsin/3/2007	2007	40	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Bris10/07	A/Brisbane/10/2007	2007	80	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Uru716/07	A/Uruguay/716/2007	2007	80	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/JHB15/08	A/Johannesburg/15/2008	2008	40	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Eng394/08	A/England/394/2008	2008	40	Barr2010
A/Lisbon/4/2009	A/Lisbon/4/2009	2009	A/Bris24/08	A/Brisbane/24/2008	2008	40	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	<40	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/Wis3/07	A/Wisconsin/3/2007	2007	80	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/Bris10/07	A/Brisbane/10/2007	2007	40	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/Uru716/07	A/Uruguay/716/2007	2007	40	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/JHB15/08	A/Johannesburg/15/2008	2008	<40	Barr2010
A/Netherlands/379/2008	A/Netherlands/379/2008	2008	A/Eng394/08	A/England/394/2008	2008	40	Barr2010
A/Thuringen/76/2008	A/Thuringen/76/2008	2008	A/Wis67/05	A/Wisconsin/67/2005	2005	<40	Barr2010
A/Thuringen/76/2008	A/Thuringen/76/2008	2008	A/Trieste25c/07	A/Trieste/25c/2007	2007	80	Barr2010
